Model_Group,(All),,,,,,,,,
,,,,,,,,,,
Sum of PV_Capex,Column Labels,,,,,,,,,
Row Labels,2020,2030,2040,2050,2060,2070,2080,2090,2100,Grand Total
REMIND-MAgPIE 2.1-4.2,878.5228,434.0866,364.7617,335.1411,295.6422,271.2625,251.6326,237.9673,226.6133,3295.6301
WITCH 5.0,1061.360728,458.6643776,276.935,276.935,276.935,276.935,276.935,276.935,276.935,3458.570106
EN_NPi2020_800f,4968.662092,3182.430191,2516.311343,2380.054066,2269.719334,2189.050588,2112.483179,2073.166991,2050.729203,23742.60699
GEM-E3_V2021,1398.597412,1192.071845,1084.272876,1002.61901,949.0793941,897.7632712,844.0571385,821.1635959,811.9433622,9001.567905
POLES ENGAGE,1630.181152,1092.088867,789.2940674,764.7768555,747.25354,742.3123169,739.6061401,737.6376953,736.8290405,7979.979675
REMIND-MAgPIE 2.1-4.2,878.5228,436.0563,365.8094,335.7232,296.4514,272.04,251.8849,237.4307,225.0218,3298.9405
WITCH 5.0,1061.360728,462.2131789,276.935,276.935,276.935,276.935,276.935,276.935,276.935,3462.118907
EN_NPi2020_900,3570.06468,1949.827063,1433.600737,1377.235866,1321.929495,1293.426488,1269.902058,1253.368075,1241.082029,14710.43649
POLES ENGAGE,1630.181152,1037.835083,787.8724365,763.3847656,746.6871948,742.3577881,739.5340576,737.5916748,736.847229,7922.291381
REMIND-MAgPIE 2.1-4.2,878.5228,443.13,368.7933,336.9161,298.3073,274.1337,253.433,238.8414,227.2998,3319.3774
WITCH 5.0,1061.360728,468.86198,276.935,276.935,276.935,276.935,276.935,276.935,276.935,3468.767708
EN_NPi2020_900f,3570.06468,2023.363334,1436.237881,1378.940828,1322.804747,1293.528632,1270.125386,1253.477221,1240.754837,14789.29754
POLES ENGAGE,1630.181152,1109.202881,790.430481,764.9014282,747.4579468,742.3002319,739.5427856,737.5814209,736.7828369,7998.381164
REMIND-MAgPIE 2.1-4.2,878.5228,442.8232,368.8724,337.1044,298.4118,274.2934,253.6476,238.9608,227.037,3319.6734
WITCH 5.0,1061.360728,471.3372525,276.935,276.935,276.935,276.935,276.935,276.935,276.935,3471.242981
EN_NPi2100,7288.19875,5425.021823,4490.12602,3852.749558,3666.997142,3564.316839,3489.317214,3435.176314,3392.20084,38604.1045
AIM/CGE 2.2,2304.038,1764.7951,1525.8124,1286.8297,1286.8297,1286.8297,1286.8297,1286.8297,1286.8297,13315.6237
GEM-E3_V2021,1398.597412,1228.017124,1133.166651,1046.766224,979.6588089,930.1952467,892.0857023,861.6772247,836.7867227,9306.951116
POLES ENGAGE,1645.67981,1282.913452,1035.433716,842.5350342,779.4736328,756.4346924,745.7365112,742.0618896,739.4503174,8569.719056
REMIND-MAgPIE 2.1-4.2,878.5228,533.6418,448.84,399.6836,344.1,313.9222,287.7303,267.6725,252.1991,3726.3123
WITCH 5.0,1061.360728,615.6543471,346.8732528,276.935,276.935,276.935,276.935,276.935,276.935,3685.498328
EN_NPi2100_COV,3925.214979,3065.39977,2639.9519,2312.913481,2120.981922,2013.585839,1935.849875,1879.102142,1835.815095,21728.815
GEM-E3_V2021,1398.58803,1228.001586,1133.168841,1046.858298,979.6919557,930.2395947,892.1357027,861.7323431,836.8448144,9307.261166
POLES ENGAGE,1646.085449,1298.236084,1046.140259,852.4553833,785.7904663,759.7408447,747.7094727,742.5187988,739.867981,8618.544739
REMIND-MAgPIE 2.1-4.2,880.5415,539.1621,460.6428,413.5998,355.4995,323.6054,296.0047,274.851,259.1023,3803.0091
LeastTotalCost_Base_brkLR15_SSP1_P50,889.8689,573.2255,437.7285,375.945,330.7818,307.1436,286.3873,271.5307,260.2421,3732.8534
REMIND 2.1,889.8689,573.2255,437.7285,375.945,330.7818,307.1436,286.3873,271.5307,260.2421,3732.8534
LeastTotalCost_Base_brkLR15_SSP2_P50,895.6954,612.8281,482.7147,418.3251,359.5268,327.668,299.7959,279.7257,264.8511,3941.1308
REMIND 2.1,895.6954,612.8281,482.7147,418.3251,359.5268,327.668,299.7959,279.7257,264.8511,3941.1308
LeastTotalCost_Base_brkLR15_SSP5_P50,905.2676,824.8843,820.4019,828.3373,741.1427,692.3101,648.6457,620.0901,598.5485,6679.6282
REMIND 2.1,905.2676,824.8843,820.4019,828.3373,741.1427,692.3101,648.6457,620.0901,598.5485,6679.6282
LeastTotalCost_Base_brkSR15_SSP1_P50,891.9732,577.7772,440.906,377.4386,330.63,306.2977,285.4386,270.7543,259.5611,3740.7767
REMIND 2.1,891.9732,577.7772,440.906,377.4386,330.63,306.2977,285.4386,270.7543,259.5611,3740.7767
LeastTotalCost_Base_brkSR15_SSP2_P50,897.4609,620.4042,489.5155,423.9125,364.91,332.111,303.1518,282.7128,268.4904,3982.6691
REMIND 2.1,897.4609,620.4042,489.5155,423.9125,364.91,332.111,303.1518,282.7128,268.4904,3982.6691
LeastTotalCost_Base_brkSR15_SSP5_P50,905.2975,826.0915,827.4765,838.0356,752.9512,704.1208,658.9811,628.9387,605.7761,6747.669
REMIND 2.1,905.2975,826.0915,827.4765,838.0356,752.9512,704.1208,658.9811,628.9387,605.7761,6747.669
LeastTotalCost_CBA_brkLR15_SSP2_P50,960.2008,495.166,389.559,349.549,308.7227,285.5006,265.2826,249.4872,236.6058,3540.0737
REMIND 2.1,960.2008,495.166,389.559,349.549,308.7227,285.5006,265.2826,249.4872,236.6058,3540.0737
LeastTotalCost_CBA_brkSR15_SSP2_P50,960.2008,530.2979,407.4111,358.5921,313.8812,289.1743,267.9535,252.2741,239.931,3619.716
REMIND 2.1,960.2008,530.2979,407.4111,358.5921,313.8812,289.1743,267.9535,252.2741,239.931,3619.716
LeastTotalCost_CEA_brkLR15_SSP2_P50,960.2008,535.1255,406.9688,355.3111,310.8419,286.9883,266.0178,250.1198,238.1092,3609.6832
REMIND 2.1,960.2008,535.1255,406.9688,355.3111,310.8419,286.9883,266.0178,250.1198,238.1092,3609.6832
LeastTotalCost_CEA_brkSR15_SSP2_P50,960.2008,535.8364,406.8338,354.8046,310.08,286.003,264.9723,249.2927,237.4474,3605.471
REMIND 2.1,960.2008,535.8364,406.8338,354.8046,310.08,286.003,264.9723,249.2927,237.4474,3605.471
